name,parent,amount
Retail Salespersons,Sales,4602.5
Cashiers,Sales,3555.5
Combined Food Prepar,Restaurants,3452.2
"Office Clerks, Gener",Admin Support,3117.7
Registered Nurses,Therapeutic,2955.2
Customer Service Rep,Admin Support,2784.5
Laborers and Freight,Transport Ops,2628.4
Waiters and Waitress,Restaurants,2600.5
Secretaries and Admi,Admin Support,2536.2
Janitors and Cleaner,Lodging,2384.6
General and Operatio,General Mgmt,2263.1
Personal Care Aides,Personal Care,2016.1
Stock Clerks and Ord,Admin Support,2008.6
Heavy and Tractor-Tr,Transport Ops,1871.7
"Bookkeeping, Account",Admin Support,1730.5
First-Line Superviso,Sales,1532.4
Nursing Assistants,Therapeutic,1510.3
First-Line Superviso,Admin Support,1506.3
Sales Representative,Sales,1469.9
Maids and Housekeepi,Lodging,1443.2
Maintenance and Repa,Repair Installation,1432.6
Elementary School Te,Teaching,1410.9
Accountants and Audi,Accounting,1397.7
Teacher Assistants,Teaching,1308.1
"Cooks, Restaurant",Restaurants,1231.9
Construction Laborer,Construction,1216.7
Childcare Workers,Children Svcs,1216.6
Landscaping and Grou,Maintenance,1197.9
Team Assemblers,Production,1130.9
Security Guards,Security,1123.3
Receptionists and In,Admin Support,1053.7
"Farmers, Ranchers, a",Agribusiness,1028.7
Carpenters,Construction,1025.6
Business Operations ,Ops Mgmt,1023.9
Secondary School Tea,Teaching,1018.7
Teachers and Instruc,Teaching,993.9
"Managers, All Other",General Mgmt,992.1
Sales Representative,Sales,983
Light Truck or Deliv,Transport Ops,953.5
First-Line Superviso,Restaurants,936.9
Home Health Aides,Therapeutic,911.5
Food Preparation Wor,Restaurants,871.1
"Software Developers,",Programming,831.3
Management Analysts,Ops Mgmt,806.4
Lawyers,Legal,792.5
Automotive Service T,Facilities,749.9
Licensed Practical a,Therapeutic,724.5
Packers and Packager,Transport Ops,710.8
Executive Secretarie,Admin Support,685.3
Police and Sheriff's,Law Enforcement,684.2
"Shipping, Receiving,",Admin Support,681.4
Electricians,Construction,666.9
Computer User Suppor,Info Support,636.6
Medical Assistants,Therapeutic,634.4
Middle School Teache,Teaching,630.3
First-Line Superviso,Production,621.4
"Hairdressers, Hairst",Personal Care,617.3
Bartenders,Restaurants,611.2
First-Line Superviso,Construction,602.5
Computer Systems Ana,Programming,600.5
Market Research Anal,Research,595.4
Financial Managers,Business Finance,580.4
Medical Secretaries,Health Informatics,574.2
Industrial Truck and,Transport Ops,549.9
Human Resources Spec,HR Mgmt,547.8
"Inspectors, Testers,",QA,520.7
"Cooks, Fast Food",Restaurants,517.6
Dishwashers,Restaurants,514.3
"Bus Drivers, School ",Transport Ops,507.9
"Counter Attendants, ",Restaurants,505.2
Farmworkers and Labo,Plants,503.7
Tellers,Banking,502.7
Insurance Sales Agen,Insurance,501.4
Billing and Posting ,Sales and Service,501
"Plumbers, Pipefitter",Construction,480.6
"Preschool Teachers, ",Teaching,478.5
Driver/Sales Workers,Sales,467.9
First-Line Superviso,Repair Installation,462.2
Counter and Rental C,Sales,458.2
Correctional Officer,Corrections,450
Dining Room and Cafe,Restaurants,431.2
Helpers--Production ,Production,426
"Software Developers,",Programming,425
"Cooks, Institution a",Restaurants,424.8
"Hosts and Hostesses,",Restaurants,409.2
First-Line Superviso,Sales,405.2
"Welders, Cutters, So",Production,404.8
Construction Manager,Construction,403.8
Pharmacy Technicians,Therapeutic,402.5
Machinists,Production,396.2
Network and Computer,Networks,391.3
Recreation Workers,Recreation,390
Social and Human Ser,Family Svcs,389.8
Sales Managers,Marketing Mgmt,385.5
Packaging and Fillin,Production,383
"Painters, Constructi",Construction,381.5
"Securities, Commodit",Securities,375.7
Physicians and Surge,Therapeutic,372.4
Operating Engineers ,Construction,371.1
Cleaners of Vehicles,Facilities,369.2
Computer and Informa,Business Info Mgmt,367.6
Self-Enrichment Educ,Teaching,354.2
Medical and Health S,Support,352.2
Real Estate Sales Ag,Sales,348.8
Industrial Machinery,Repair Installation,346.9
Sales Representative,Sales,343.6
"Heating, Air Conditi",Maintenance,332.9
Dental Assistants,Therapeutic,332
"Production, Planning",QA,329.4
Firefighters,Emergency Svcs,327.3
Loan Officers,Banking,318.6
"Child, Family, and S",Family Svcs,317.6
"Property, Real Estat",Marketing Mgmt,317.3
Postal Service Mail ,Admin Support,316.7
Pharmacists,Therapeutic,312.5
"Claims Adjusters, Ex",Insurance,311.1
"Purchasing Agents, E",Process Dvlpmt,309.4
Chief Executives,General Mgmt,308.9
Food Service Manager,Restaurants,308.7
Insurance Claims and,Insurance,308.5
Bill and Account Col,Banking,305.7
Taxi Drivers and Cha,Transport Ops,305.1
Civil Engineers,Design,303.5
Amusement and Recrea,Recreation,300
Fitness Trainers and,Personal Care,299.2
Financial Analysts,Business Finance,296.1
Computer Programmers,Programming,294.9
"Educational, Guidanc",Professional Support,291.7
Mechanical Engineers,Engineering,288.8
Compliance Officers,Governance,288.3
Computer Occupations,Info Support,287.2
Paralegals and Legal,Legal,285.6
Training and Develop,HR Mgmt,282.8
Administrative Servi,Ops Mgmt,281.7
Bus and Truck Mechan,Facilities,278.8
Coaches and Scouts,Teaching,276.1
First-Line Superviso,Personal Care,276.1
Personal Financial A,Securities,271.9
"Farmworkers, Farm, R",Animal Systems,268.1
Graphic Designers,Visual Arts,266.3
"Food Servers, Nonres",Restaurants,263.8
"Production Workers, ",Production,263.5
Public Relations Spe,Comms,259.6
Industrial Engineers,Engineering,257.9
"Hotel, Motel, and Re",Lodging,252.6
Parts Salespersons,Sales,251.9
Education Administra,Administration,251.3
Emergency Medical Te,Emergency Svcs,248
Clergy,Family Svcs,243.9
First-Line Superviso,Lodging,243.5
Office and Administr,Admin Support,243.2
Nonfarm Animal Caret,Animal Systems,241.5
Physical Therapists,Therapeutic,239.8
Telecommunications E,Telecomm,237.6
Postsecondary Teache,Teaching,236.5
Health Specialties T,Teaching,233.5
Assemblers and Fabri,Production,232.4
Loan Interviewers an,Banking,229.8
Laundry and Dry-Clea,Personal Care,220.1
Electrical and Elect,Production,218.9
Marketing Managers,Marketing Mgmt,218.3
Cost Estimators,Design,217.9
Telemarketers,Sales,216.6
Dental Hygienists,Therapeutic,207.9
Medical Records and ,Health Informatics,206.3
Radiologic Technolog,Diagnostics,205.2
First-Line Superviso,Transport Ops,204.2
Data Entry Keyers,Admin Support,203.8
